GLCM_pan;Mean_Green;Mean_Red;Mean_NIR;SD_pan;class
102.454955;216.4285714;97.42857143;445.7142857;11.29136387;n
116.6693227;265.4603175;122.8888889;773.8730159;16.89164854;n
127.753155;207.5483871;92.39516129;531.1612903;29.96178628;n
138.9006116;208.2926829;93.82926829;503.3658537;23.39847003;n
117.5700483;249.9230769;124.9615385;650.6346154;20.05505551;n
128.6960227;197.4090909;93.0;522.7727273;25.5110169;n
119.9166667;230.5;102.0;774.8571429;17.64878443;n
107.3625;210.2;95.4;512.2;26.45297715;n
140.7125;198.2;83.2;337.7333333;14.87219628;n
112.5627962;196.4150943;88.20754717;334.1698113;17.05455823;n
98.61702128;205.0;90.66666667;507.6666667;6.236095645;n
167.0;211.0;105.0;636.0;6.609652033;n
113.5537634;234.3571429;103.5857143;723.4571429;30.28136424;n
120.00340520000002;201.6936937;90.78378378;443.2522523;23.99413869;n
110.171875;203.0;84.0;364.0;44.81559438;n
149.82291669999995;223.4166667;102.1666667;610.4166667000002;21.975365;n
134.2546677;213.8333333;96.64285714;488.452381;18.87862533;n
144.4584718;217.89473680000003;100.0526316;550.5789474;12.26281906;n
112.6610879;212.4;94.6;773.6;24.33890347;n
120.29816509999998;176.9090909;93.67272727;220.8;20.81877728;w
135.5678015;236.2110092;114.31192659999998;608.1743119;28.38921117;n
127.4528302;203.9;89.5;520.35;26.5301715;n
141.11684780000004;204.0;93.13043478;509.7391304;26.60375771;n
111.7820513;243.95;108.2;753.75;22.93136498;n
133.8228571;225.0909091;98.18181818;643.3636364;25.24229692;n
133.59375;227.0;107.0;533.0;25.76061674;n
130.3398414;211.0;110.815534;616.9805825;22.95875313;w
121.2125;195.1666667;88.03333333;347.5333333000001;39.1137941;n
125.5173522;249.0641892;116.0608108;732.6418919;12.07929303;n
132.9970238;211.047619;101.3333333;609.3333332999998;24.12185618;n
114.1171875;247.25;116.875;713.125;27.63602721;n
111.6323529;232.5882353;102.2941176;569.5294117999998;14.86711612;n
123.2923497;205.6956522;91.17391304;481.0869565;17.80401603;n
126.75555559999998;201.6470588;92.58823529;494.4705882;23.83739611;n
168.8375;252.0;122.0;580.0;17.84376642;n
121.5490279;276.22;175.5933333;402.62;13.39457436;n
136.0052632;289.125;165.08333330000005;428.1666667;15.36223499;n
99.5625;249.8;113.5;765.8;21.74879307;n
111.1728723;223.6666667;99.45833333;710.0;15.78413409;n
116.0143646;254.0;124.8947368;813.4385965;10.78817565;n
129.46315790000003;531.625;512.4166667;728.0833332999998;85.46161419;n
128.9492188;245.25;129.5;507.75;18.65967829;n
119.4351852;211.3703704;97.92592593;433.7777778;23.00390615;n
128.025;559.6;396.0;609.8;23.1741235;n
112.8930233;192.6296296;85.03703704;433.1851852;30.15670094;n
126.2727273;224.3658537;106.23577240000002;721.1788617999998;31.65370911;n
131.6991979;212.8297872;96.0212766;512.5319149000002;31.43138711;n
122.6319018;230.5609756;142.195122;473.7073171;24.52188863;w
104.20625;202.9;93.4;611.4;18.42715388;n
110.6020942;207.4583333;93.16666667;456.125;14.41425799;n
116.8022923;171.0454545;79.27272727;334.1363636000001;37.85018314;n
135.07474230000003;204.7346939;88.0;456.9387755;29.45628348;n
144.6383929;215.5;87.42857143;590.9285714;23.1168284;n
128.3605769;184.6515152;77.43939394;335.6060606000001;15.90768392;n
128.5079942;215.7325581;97.24418605;498.9186047;50.79432461;n
119.5255814;211.8888889;92.22222222;537.5185184999998;31.80487492;n
136.9129264;211.4571429;96.02857143;491.84285710000006;28.39223809;n
87.3125;227.0;99.0;576.0;10.22252415;n
126.705186;275.89285710000007;161.1785714;455.2142857;15.35306217;n
118.66970390000002;234.75;109.6071429;658.8928571;15.75870346;n
117.4052045;183.0;76.82352941;399.4117647;21.05177749;n
142.9539474;237.89473680000003;107.1052632;811.3157894999998;22.0626155;n
125.2215909;357.9772727;281.0681818;460.0;38.43995532;n
125.0506329;240.28;116.84;408.2;20.06294096;n
144.2102273;254.6363636;126.0909091;622.6363636;23.75251183;n
121.0932785;209.7065217;94.02173913;418.673913;18.97264472;n
138.96354169999998;207.2916667;90.625;472.25;21.20006388;n
153.7460938;251.0625;133.625;499.375;12.57213561;n
124.4415584;268.5876289;150.0;421.6597938;15.87498991;n
148.89583330000005;229.0;106.0;751.0;30.09798812;n
120.8983891;205.372549;97.66666667;533.2745098;16.16583132;n
120.190675;214.2888889;95.27777778;570.0666667;31.15391698;n
126.5932755;204.6034483;91.4137931;401.2931034;24.38711893;n
94.6796875;246.875;109.125;766.625;25.54897258;n
133.8514286;236.4090909;107.6818182;796.2272727000002;28.97163047;n
127.6273674;212.1654135;96.29323308;477.9323308000001;21.44673284;n
141.5313725;232.8125;113.5;684.0625;26.9112401;n
118.1241935;236.2051282;101.9230769;654.0;23.50491996;n
119.660401;217.7;99.3;672.24;23.66874733;n
126.8811189;179.61111110000004;81.83333333;319.1666667;31.21237241;n
95.8125;230.625;97.75;564.5;15.82521722;n
132.2508052;185.9299363;77.76433121;285.2738854;20.93173114;n
123.91226100000002;217.9642857;96.30357143;623.8035714;24.43670891;n
142.8297872;246.3333333;129.3333333;487.33333330000005;18.60372988;n
118.8860294;168.0;74.35294118;322.4117647;18.52259445;n
111.3684211;209.8709677;93.25806452;726.3870968;38.42543491;n
131.2890625;240.7083333;109.9166667;786.5416667000002;14.69687939;n
144.91666669999995;214.8333333;98.16666667;494.83333330000005;23.2874549;n
127.877551;222.8648649;97.91891892;652.2972973;24.11531828;n
136.8984375;188.5;84.0;429.75;39.90452473;n
125.9181655;253.260521;117.1723447;775.1723447;7.016564099;n
162.45;217.8;97.0;672.6;25.30296425;n
118.9550706;244.5306122;127.3877551;644.6326531000002;31.44632417;n
115.8774885;211.7073171;94.92682927;505.3414634;30.22698189;n
115.4551887;237.037037;106.2962963;527.2222222;13.66631536;n
113.4296482;178.52;78.96;209.48;8.50449293;n
113.5956113;274.35;132.4;694.65;21.49947674;n
110.3070652;241.7826087;112.3913043;581.4782609;27.14011812;n
126.7313077;242.9433962;128.5141509;506.0566038;27.79976271;n
126.1643917;226.745283;101.1320755;748.0943396;34.48036161;n
125.9774775;210.2142857;88.14285714;558.6428571;29.89616384;n
132.292887;228.1333333;109.53333329999998;693.7333332999998;32.82451658;n
119.8308181;246.8734177;115.2025316;655.3291138999998;35.32659443;n
134.0288066;235.32786890000003;109.7868852;720.295082;30.93946027;n
124.0108696;234.6086957;112.3043478;315.3478261;43.03812;n
137.5132179;193.2608696;84.68115942;376.71014489999993;16.83641346;n
105.0238095;188.75;83.5;307.625;44.3931301;n
129.4639556;204.75;90.86764706;455.3970588;41.65476416;n
112.6890488;533.0632911;368.7341772;525.0632911;45.60559059;n
119.2767857;222.8571429;100.0;637.0;32.55952163;n
133.1497585;218.9615385;96.88461538;668.2307692;20.42753102;n
116.04985759999998;208.7272727;93.88636364;495.7954545;40.32391447;n
141.56066950000005;178.0333333;72.6;227.8;18.80806565;n
93.6875;220.8571429;99.71428571;677.0;8.729494923999999;n
133.6122112;178.5;73.81578947;347.2894737;18.83653622;n
114.3877953;228.53125;110.90625;526.21875;28.37952538;n
132.09584089999998;281.9142857;180.2571429;421.6285714;13.57326303;n
139.2340426;211.0;99.77777778;588.6666667000002;18.66732803;n
127.6522843;229.16;101.12;677.08;19.67113622;n
125.6677116;236.6;133.325;372.55;20.1474409;n
134.51621619999997;191.5142857;80.97142857;387.6;24.11968457;n
147.5481728;188.7894737;82.73684211;302.6842105;11.62741054;n
128.68125;258.8;118.2;838.6;17.60681686;n
125.828125;228.25;102.0;388.5;28.7967012;n
116.6964618;218.4411765;95.38235294;592.1176471;32.63836662;n
116.4324324;224.40522880000003;100.2418301;710.5032679999998;29.04463385;n
133.1904762;199.2758621;86.89655172;448.2068966;32.4695412;n
126.9288462;321.4848485;226.2424242;443.2121212;14.26690353;n
135.19296119999998;202.0384615;90.38461538;477.3461538;36.94299843;n
116.82955049999998;204.7659574;89.53191489;469.91489360000014;40.27874558;n
