0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;class
1.0361;0.54382;1.5749;1.2535;1.0133;-0.3667;-0.75944;1.2166;0.2478;-0.7775;-0.88113;-0.1802;-0.16716;0.70172;0.054652;1.6406;-0.15152000000000002;0.40972;4.268;-0.48848;1.9965;0.020912;0.16646;-0.4775;-0.37742;0.45186;3.1813;-0.10097;0.5010100000000001;-0.44033;-0.6102;0.70172;-0.092482;1.8319;-0.42105;-0.35232;-0.25226;0.46775;-0.20837;0.81258;-0.24721;-0.16374;-0.11229;-0.57834;-1.131;-0.40245;-0.55678;-0.4899;-0.78459;-0.4648600000000001;0.93219;4
-1.1052;-2.0454;-0.51883;-1.0652;-0.7905;0.14717;0.64673;-0.41777;0.35421;-0.5053300000000001;-0.04233;-0.3438;-0.13685999999999998;-1.7339;0.11761;-0.13785999999999998;-0.13493;1.2948;0.16621;2.1163;0.19933;1.6737;0.37143;1.3258;0.069702;0.8498399999999999;0.7029;-0.0090473;0.21512;-0.44033;2.4844;-1.7339;-0.092482;5.5353;-0.42105;-0.35232;-0.158;0.42443;-0.091606;9.7508;-0.15600999999999998;-0.16374;-0.11229;-0.57834;-2.4037;2.4442;-0.55678;-0.4899;0.75593;-0.4648600000000001;-0.6192;2
-0.8343700000000001;0.63138;-0.6604300000000001;-0.74257;-0.92775;-0.5231;1.031;-0.41777;0.048845;-0.64141;-0.48485;-0.35436;-0.18059;0.5029;-0.15909;0.48791;-0.15249;0.58673;0.1384;-0.28811;0.0214;0.020912;0.12943;0.0033689;-0.0086331;0.10584;-0.0018889;-0.116;-0.15575999999999998;-0.44033;-0.35758;0.5029;-0.092482;4.3009;5.9878;11.996;-0.20036;-0.030466000000000007;-0.17022;1.028;-0.22918;-0.16374;-0.11229;-0.57834;-2.2151;-0.5454100000000001;-0.55678;-0.4899;-0.78459;-0.4648600000000001;0.93219;5
-0.74234;-0.8890399999999999;-0.44203;-0.68698;-0.76861;-0.3218;0.81055;0.39943;0.37074;-0.36924;-0.68179;-0.26728;-0.15933;0.75143;-0.16264;0.46932;-0.15892;-1.1126;-0.7369100000000001;-0.28811;-0.17907;0.020912;-0.1095;-0.4775;-0.50458;-0.5222;-0.49979;-0.11823;-0.21218;-0.44033;-0.67335;0.75143;0.050869;-0.22559;-0.020493;-0.09507;-0.37828;-0.54564;-0.33784000000000003;-0.26431;-0.37764;-0.16374;0.026975;-0.5124;-0.33242;0.19044;-0.48981;-0.40634;-0.71748;0.051196;0.7069;4
0.40492;0.83152;0.25664000000000003;0.62116;0.3984;-0.63143;-0.1081;-0.28157;-0.20689;-0.5053300000000001;-0.57872;-0.33325;-0.26797;-0.2427;-0.13325;0.76337;-0.15346;0.58673;0.37334;-0.28811;0.11258;0.020912;0.52345;-0.4775;0.16305999999999998;0.18967;0.36127;-0.11476;-0.057629;-0.44033;0.5897399999999999;-0.2427;-0.092482;-0.22559;-0.42105;-0.35232;-0.2099;-0.18116;-0.18987;-0.26431;-0.20479;-0.16374;-0.11229;-0.57834;0.99018;-0.5454100000000001;-0.55678;-0.4899;-0.78459;-0.4648600000000001;0.93219;3
-0.93217;-3.4306;2.4624;-0.8590700000000001;2.2994;-0.72832;-1.7638;1.0804;-0.20546;-0.64141;-0.78161;-0.19603;-0.28274;0.75143;0.11769;0.07305299999999999;-0.15162;-1.1126;0.2314;-2.639;0.11182;0.020912;-0.39966;-0.4775;-0.90056;-0.66388;0.056992;-0.1636;-0.17526;-0.44033;-0.67335;0.75143;-0.092482;0.5974;-0.42105;-0.35232;-0.17071;-0.013513;-0.10317;0.38182;-0.17298;-0.16374;-0.11229;-0.5623600000000001;-2.3311;2.58;-0.54055;-0.46965;0.17535;-0.4648600000000001;-0.034525;6
1.3987;0.6509999999999999;1.8623;0.46245;0.24406;2.5049;-1.1966;-0.009172;-0.47625;-0.7775;-0.7995800000000001;-0.2963;-0.38376;0.30407;-0.18843;1.2237;-0.15705999999999998;0.58673;2.384;-0.7460899999999999;2.6212;0.020912;-0.022059;-0.4775;-0.4805;0.18967;1.7624;-0.10825;0.8616799999999999;-0.24267;-0.23127;0.30407;-0.092482;1.8319;-0.42105;-0.35232;-0.23849;0.038287;-0.20837;-0.26431;-0.23342;-0.16374;-0.11229;-0.57834;-2.0158;1.5133;-0.55678;-0.4899;0.60628;-0.4648600000000001;-0.4685;6
-0.53718;0.72541;-0.62324;-0.56717;-0.73761;-0.44579;0.8314;-0.41777;-0.33999;0.31119;-0.57963;-0.11159;-0.34364;0.5029;-0.083807;-1.4413;-0.15821;-1.5374;-1.1363;-0.28811;-0.42926;-1.5217;-0.56677;-0.4775;-0.46797;-0.8666;-0.8423799999999999;-0.11823;-0.28351;-0.44033;-0.35758;0.5029;-0.092482;-0.22559;-0.42105;-0.35232;-0.41853;-0.65677;-0.37137;-0.26431;-0.41369;-0.16374;-0.11229;-0.20901;0.90632;-0.41159;-0.31187;-0.4899;-0.52147;0.016049;0.5202399999999999;4
-0.4495;0.44389;-0.47475;-0.36224;-0.44397;-0.5343899999999999;0.60444;-0.28157;-0.235;2.3525;1.2469;1.3608;0.41106;0.6520199999999999;-0.11531;0.57901;-0.15724000000000002;0.58673;0.40434;0.99422;0.092192;0.020912;0.026082;-0.30438000000000004;0.15613;0.18967;0.26303000000000004;-0.088506;0.11714;-0.24267;-0.67335;0.6520199999999999;0.050869;-0.22559;-0.22077;-0.22369;-0.26708000000000004;-0.26309;-0.22339;-0.26431;-0.26524000000000003;-0.16374;0.026975;-0.55423;0.0048672;-0.28715;-0.5323;-0.45935;-0.53923;-0.30315;0.63568;3
1.787;0.83152;-0.45236;2.1148;1.8509;-0.29329;-1.5343;-0.55397;-0.6491399999999999;-0.23316;-0.070732;-0.3438;-0.3879;-1.3362;-0.2546;-0.66357;-0.12177;0.58673;0.38049;-0.28811;-0.35512;0.020912;0.097114;0.48425;1.0963;0.18967;0.17620999999999998;-0.018796;0.10643;2.6234;0.021347;-1.3362;-0.092482;-0.22559;0.17978;0.2908;0.50707;0.26997;-0.012995;-0.048934;0.50993;-0.16374;-0.11229;1.9963;0.99018;-0.5454100000000001;2.0580000000000003;2.6276;1.8358;-0.4648600000000001;-1.7067;6
