0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
242.0;183.0;9;0.0;0.0;1.4999999;0.9368979;2.1666667;1.7981470000000002;15.37037;12.666667;12.444445;21.0;-8.111111;-8.777778;16.88889;21.0;0.42024404;2.0758736;7
77.0;78.0;9;0.0;0.0;2.222223;2.3407404;2.0;5.8666697;24.592592;24.0;31.222221;18.555555;-1.7777778000000002;19.88889;-18.11111;31.222221;0.40196496;-1.610448;1
128.0;175.0;9;0.0;0.0;2.1666667;4.2111096;2.7222214;4.3296275;23.777779;20.88889;21.777779;28.666666;-8.666667;-6.0;14.666667000000002;28.666666;0.28495370000000003;2.2635381000000003;7
85.0;225.0;9;0.0;0.0;1.5;1.0055401;1.6111113;1.2895594;16.185184;14.444445000000002;12.777778;21.333334;-5.2222222999999985;-10.222222;15.444445000000002;21.333334;0.40115124;1.8910155;7
219.0;80.0;9;0.0;0.0;1.2777767;0.3296295;0.6666667;0.9333318000000002;39.703705;36.333336;48.22222;34.555557;-10.111111;25.555555;-15.444445000000002;48.22222;0.28296396;-1.9626464;4
207.0;115.0;9;0.0;0.0;1.0555555;0.3296295;0.16666669;0.033333343;1.2222222;0.44444445;2.8888888;0.33333334;-2.3333333;5.0;-2.6666667;2.8888888;0.93333334;-2.0655363;5
74.0;127.0;9;0.0;0.0;4.8333335;3.6499624;1.6666666;1.2472203000000002;45.25926;39.444443;57.33333199999999;39.0;-17.444445;36.22222;-18.777779;57.33333199999999;0.31732458;-2.061036;4
18.0;83.0;9;0.0;0.11111111;6.1666665;9.988892;12.888889;28.785189000000006;14.37037;9.0;22.666666;11.444445;-16.11111;24.88889;-8.777778;22.666666;0.6647845;-2.2742054;3
89.0;107.0;9;0.11111111;0.0;1.4444445;1.940741;1.8888894;2.740741;18.88889;19.88889;22.88889;13.888889;3.0;12.0;-15.0;23.0;0.39465594;-1.3578709;1
117.0;147.0;9;0.0;0.0;0.6111111;0.10740735;0.77777785;0.5629629;6.7777777000000015;5.4444447;11.0;3.8888888;-4.0;12.666667;-8.666667;11.0;0.64367795;-1.7833879;1
83.0;117.0;9;0.0;0.0;1.8333334;1.3784048999999998;0.7222223000000001;0.49065298;17.11111;14.555554999999998;23.0;13.777778;-7.666666499999999;17.666666;-10.0;23.0;0.40220302;-2.005139;5
184.0;15.0;9;0.0;0.0;0.44444528;0.25185028;0.77777356;0.11851902;140.77777;134.33334;150.11111;137.88889;-19.333334;28.0;-8.666667;150.11111;0.105074264;-2.3284721;2
160.0;95.0;9;0.0;0.0;3.2222223;3.544427;0.22222225;0.4036867;2.148148;2.1111112000000003;2.5555556;1.7777778000000002;-0.11111111;1.2222222;-1.1111112;2.5555556;0.10119048;-1.6289082;5
14.0;95.0;9;0.0;0.0;1.3333334;0.699206;1.1111112;0.62063295;2.2592592;0.6666667;3.8888888;2.2222223;-4.7777777000000015;4.888889;-0.11111111;3.8888888;0.8740741;-2.5527236;3
82.0;120.0;9;0.0;0.0;5.6666675;46.933327;5.9444447;60.06296999999999;6.962963;3.3333333;12.777778;4.7777777000000015;-10.888889;17.444445;-6.5555553;12.777778;0.8228924999999999;-2.240133;3
95.0;109.0;9;0.0;0.0;1.0;0.4888888;1.9444443;2.729629;17.25926;19.222221;20.0;12.555555;5.888889;8.222222;-14.111111;20.444445;0.38499743;-1.1312037;1
163.0;68.0;9;0.0;0.0;1.833334;2.21111;1.5555559;0.96296287;56.77778000000001;52.0;68.22222;50.11111;-14.333332999999998;34.333332;-20.0;68.22222;0.26505277;-1.9843078;4
140.0;125.0;9;0.0;0.0;0.2777779;0.06296301;0.66666675;0.31111118;6.185185;7.333333500000001;7.666666499999999;3.5555556000000004;3.4444444;4.4444447;-7.888889;7.7777777000000015;0.5456349;-1.1218182;1
240.0;79.0;9;0.0;0.0;16.277779000000002;40.862957;14.166667000000002;155.3222;32.77778;24.333334;45.77778;28.222221;-25.333334;39.0;-13.666667000000002;45.77778;0.48906165;-2.2862954;3
142.0;163.0;9;0.0;0.0;1.4999994;0.87777835;17.666666;3.2444987000000003;40.444443;35.0;48.555557;37.77778;-16.333334;24.333334;-8.0;48.555557;0.2689782;-2.3927407000000005;6
39.0;111.0;9;0.0;0.0;0.72222227;0.37407416;0.8888889000000001;0.4296295;6.0370370000000015;7.0;7.666666499999999;3.4444444;2.8888888;4.888889;-7.7777777000000015;7.888889;0.56291884;-1.1757725;1
94.0;144.0;9;0.0;0.0;0.44444442;0.118518494;0.49999997;0.1666667;1.1481482;0.0;3.4444444;0.0;-3.4444444;6.888889;-3.4444444;3.4444444;1.0;-2.0943952;3
114.0;184.0;9;0.0;0.0;0.7222225999999999;0.32962984;9.388888;28.951855;31.185184000000003;28.444445;37.11111;28.0;-8.222222;17.777779000000006;-9.555555;37.11111;0.23234288;-2.1603296000000003;6
67.0;32.0;9;0.0;0.0;0.944444;1.0628421;1.7777786;1.3109215;126.22222;115.11111499999998;142.22223;121.33333600000002;-33.333332;48.0;-14.666667000000002;142.22223;0.19062504;-2.333746;2
136.0;92.0;9;0.0;0.0;8.055553999999999;44.774082;1.0;0.17777748;15.407407999999998;11.666667;22.666666;11.888889;-11.222222;21.777779;-10.555555;22.666666;0.53354967;-2.1132734;5
23.0;113.0;9;0.0;0.0;0.72222203;0.9962958;2.777778;2.7851818;14.703704;17.11111;16.88889;10.111111;7.2222222999999985;6.5555553;-13.777778;18.333334;0.4513593;-0.97570044;1
90.0;36.0;9;0.0;0.0;0.94444275;0.32773143;1.1111094;1.2232299;66.37037;56.55555699999999;84.77778;57.77778000000001;-29.444445;55.22221999999999;-25.777779;84.77778;0.33281505;-2.1385806;4
